""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"370"	"Dec"	"Thurs"	"Mid-Day"	"Short Delay"	1276
"371"	"Dec"	"Thurs"	"Morning"	"Cancelled"	84
"372"	"Dec"	"Thurs"	"Morning"	"Long Delay"	410
"373"	"Dec"	"Thurs"	"Morning"	"Medium Delay"	1053
"374"	"Dec"	"Thurs"	"Morning"	"On Time"	2903
"375"	"Dec"	"Thurs"	"Morning"	"Short Delay"	603
"376"	"Dec"	"Thurs"	"Night"	"Cancelled"	25
"377"	"Dec"	"Thurs"	"Night"	"Long Delay"	149
"378"	"Dec"	"Thurs"	"Night"	"Medium Delay"	206
"379"	"Dec"	"Thurs"	"Night"	"On Time"	377
"380"	"Dec"	"Thurs"	"Night"	"Short Delay"	64
"381"	"Dec"	"Tues"	"Evening"	"Cancelled"	148
"382"	"Dec"	"Tues"	"Evening"	"Long Delay"	1614
"383"	"Dec"	"Tues"	"Evening"	"Medium Delay"	2344
"384"	"Dec"	"Tues"	"Evening"	"On Time"	4526
"385"	"Dec"	"Tues"	"Evening"	"Short Delay"	984
"386"	"Dec"	"Tues"	"Mid-Day"	"Cancelled"	179
"387"	"Dec"	"Tues"	"Mid-Day"	"Long Delay"	1121
"388"	"Dec"	"Tues"	"Mid-Day"	"Medium Delay"	2325
"389"	"Dec"	"Tues"	"Mid-Day"	"On Time"	5702
"390"	"Dec"	"Tues"	"Mid-Day"	"Short Delay"	1238
"391"	"Dec"	"Tues"	"Morning"	"Cancelled"	99
"392"	"Dec"	"Tues"	"Morning"	"Long Delay"	377
"393"	"Dec"	"Tues"	"Morning"	"Medium Delay"	1074
"394"	"Dec"	"Tues"	"Morning"	"On Time"	2965
"395"	"Dec"	"Tues"	"Morning"	"Short Delay"	609
"396"	"Dec"	"Tues"	"Night"	"Cancelled"	11
"397"	"Dec"	"Tues"	"Night"	"Long Delay"	126
"398"	"Dec"	"Tues"	"Night"	"Medium Delay"	196
"399"	"Dec"	"Tues"	"Night"	"On Time"	396
"400"	"Dec"	"Tues"	"Night"	"Short Delay"	72
"401"	"Dec"	"Wed"	"Evening"	"Cancelled"	150
"402"	"Dec"	"Wed"	"Evening"	"Long Delay"	1285
"403"	"Dec"	"Wed"	"Evening"	"Medium Delay"	2461
"404"	"Dec"	"Wed"	"Evening"	"On Time"	4692
"405"	"Dec"	"Wed"	"Evening"	"Short Delay"	1038
"406"	"Dec"	"Wed"	"Mid-Day"	"Cancelled"	168
"407"	"Dec"	"Wed"	"Mid-Day"	"Long Delay"	1288
"408"	"Dec"	"Wed"	"Mid-Day"	"Medium Delay"	2553
"409"	"Dec"	"Wed"	"Mid-Day"	"On Time"	5336
"410"	"Dec"	"Wed"	"Mid-Day"	"Short Delay"	1262
"411"	"Dec"	"Wed"	"Morning"	"Cancelled"	95
"412"	"Dec"	"Wed"	"Morning"	"Long Delay"	414
"413"	"Dec"	"Wed"	"Morning"	"Medium Delay"	1098
"414"	"Dec"	"Wed"	"Morning"	"On Time"	2891
"415"	"Dec"	"Wed"	"Morning"	"Short Delay"	641
"416"	"Dec"	"Wed"	"Night"	"Cancelled"	15
"417"	"Dec"	"Wed"	"Night"	"Long Delay"	110
"418"	"Dec"	"Wed"	"Night"	"Medium Delay"	151
